"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JavaScript JSX", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\colors.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 5, 3, 51
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\AboutBox.tsx", "TypeScript JSX", 0, 111, 0, 0, 0, 0, 0, 5, 4, 120
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\AsciiArt.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\AuthDialog.test.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 0, 0, 9, 14, 107
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\AuthDialog.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 0, 0, 6, 9, 102
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\AuthInProgress.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 5, 8, 58
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\AutoAcceptIndicator.tsx", "TypeScript JSX", 0, 37, 0, 0, 0, 0, 0, 5, 6, 48
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ConsolePatcher.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 0, 0, 6, 9, 61
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ConsoleSummaryDisplay.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 6, 6, 36
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\ContextSummaryDisplay.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 0, 0, 6, 9, 68
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\DetailedMessagesDisplay.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 8, 7, 83
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\EditorSettingsDialog.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 0, 0, 5, 15, 169
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\Footer.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 0, 0, 7, 6, 110
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\GeminiRespondingSpinner.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 9, 5, 35
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\gemini-cli\packages\cli\src\ui\components\Header.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 5, 7, 52
