"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\server\middleware\auth.js", "JavaScript", 26, 1, 8, 35
"Total", "-", 26, 1, 8, 35
