"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "XML", "CSS", "comment", "blank", "total"
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\CommonComponents\SkillChart.js", "JavaScript", -140, 0, 0, 0, 0, 0, -7, -147
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\CommonComponents\SkillProgressbar.js", "JavaScript", -105, 0, 0, 0, 0, 0, -7, -112
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\CommonComponents\SocialLinks.js", "JavaScript", -97, 0, 0, 0, 0, 0, -4, -101
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\ContractMe\ContactMeForHomePage.js", "JavaScript", -98, 0, 0, 0, 0, 0, -6, -104
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\ContractMe\ContractMe.js", "JavaScript", -107, 0, 0, 0, 0, 0, -12, -119
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Gallery\Gallery.css", "CSS", 0, 0, 0, 0, -149, -5, -28, -182
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Gallery\GalleryGrid.jsx", "JavaScript JSX", 0, -32, 0, 0, 0, 0, -5, -37
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Gallery\GalleryItem.jsx", "JavaScript JSX", 0, -70, 0, 0, 0, -1, -4, -75
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Gallery\Lightbox.jsx", "JavaScript JSX", 0, -88, 0, 0, 0, 0, -11, -99
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\HomePageComponents\BsIcons.js", "JavaScript", -11, 0, 0, 0, 0, 0, -4, -15
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\HomePageComponents\DiIcons.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\HomePageComponents\HomeLayoutComponents.js", "JavaScript", -10, 0, 0, 0, 0, 0, -4, -14
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\HomePageComponents\ProfessionalProfile.js", "JavaScript", -156, 0, 0, 0, 0, -9, -11, -176
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\HomePageComponents\SiIcons.js", "JavaScript", -32, 0, 0, 0, 0, 0, -4, -36
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\HomePageComponents\TbIcons.js", "JavaScript", -10, 0, 0, 0, 0, 0, -4, -14
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MainLayouts\HomeLayout.js", "JavaScript", -145, 0, 0, 0, 0, -17, -18, -180
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MainLayouts\Main.css", "CSS", 0, 0, 0, 0, -10, 0, 0, -10
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MainLayouts\MainLayout.js", "JavaScript", -34, 0, 0, 0, 0, -2, -5, -41
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MainLayouts\SingleLayout.js", "JavaScript", -25, 0, 0, 0, 0, 0, -5, -30
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MyPortfolios\MyPortfolioLayout\Portfolio.css", "CSS", 0, 0, 0, 0, -154, -12, -35, -201
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MyPortfolios\MyPortfolioLayout\PortfolioLayout.js", "JavaScript", -760, 0, 0, 0, 0, -71, -40, -871
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MyPortfolios\MyPortfoliosForHomePage.js", "JavaScript", -167, 0, 0, 0, 0, -9, -11, -187
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MyPortfolios\MyportfolioImage.js", "JavaScript", -178, 0, 0, 0, 0, -1, -12, -191
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\MyPortfolios\portfolios.json", "JSON", 0, 0, -267, 0, 0, 0, -1, -268
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Myservices\MyServices.js", "JavaScript", 0, 0, 0, 0, 0, -207, -18, -225
"d:\Web development\basic projects\projects fot job\potfoliio projects\portfolio projects\portfolioproject with livechat\portpolio-with-liveChat\src\components\Myservices\MyServicesv2.js", "JavaScript", -161, 0, 0, 0, 0, -3, -8, -172
